"keyword","title","url","position","date"
"berita hari ini","detikcom - Informasi Berita Terkini dan Terbaru Hari Ini","https://www.detik.com/",1,"2025-11-22"
"berita hari ini","CNN Indonesia | Berita Terbaru, Terkini Indonesia, Dunia","https://www.cnnindonesia.com/",2,"2025-11-22"
"berita hari ini","Kompas.com: Berita Terkini Hari Ini, Kabar Akurat Terpercaya","https://www.kompas.com/",3,"2025-11-22"
"berita hari ini","Liputan6.com: Berita Terkini, Kabar Terbaru Hari Ini Indonesia ...","https://www.liputan6.com/",4,"2025-11-22"
"berita hari ini","Google Berita","https://news.google.com/home?hl=id&gl=ID&ceid=ID%3Aid",5,"2025-11-22"
"berita hari ini","SINDOnews: Berita Terkini dan Informasi Terbaru Hari Ini","https://www.sindonews.com/",6,"2025-11-22"
"berita hari ini","Okezone.com - Berita Terkini dan Informasi Terbaru Hari Ini","https://www.okezone.com/",7,"2025-11-22"
"berita hari ini","ANTARA News: Berita terkini dan terpercaya Indonesia","https://www.antaranews.com/",8,"2025-11-22"
"berita hari ini","Berita Terkini, Berita Hari Ini Indonesia dan Dunia | tempo.co","https://www.tempo.co/",9,"2025-11-22"
"berita hari ini","detikNews - Berita hari ini di Indonesia dan Internasional","https://news.detik.com/",10,"2025-11-22"